Philipine,2015,50840,,50840,,,Philipine
Philipine,2016,41850,,41850,,,Philipine
Philipine,2017,40905,,40905,,,Philipine
Philipine,2018,35050,,35050,,,Philipine
Philipine,2019,27820,,27820,,,Philipine
Philipine,2020,10975,,10975,,,Philipine
Philipine,2021,18020,,18020,,,Philipine
Philipine,2022,22095,,22095,,,Philipine
Philipine,2023,26965,,26965,,,Philipine
Philipine,2024,20645,,20645,,,Philipine
,,,,,,,Philipine
,2015,39340,,39340,,,Philipine
,2016,39710,,39710,,,Philipine
,2017,51590,,51590,,,Philipine
,2018,69985,,69985,,,Philipine
,2019,85590,,85590,,,Philipine
,2020,42875,,42875,,,Philipine
,2021,127945,,127945,,,Philipine
,2022,118250,,118250,,,Philipine
,2023,139785,,139785,,,Philipine
,2024,86855,,86855,,,Philipine
"China, People's Republic of",,,,,,,"China, People's Republic of"
"China, People's Republic of",2015,19460,,19460,,,"China, People's Republic of"
"China, People's Republic of",2016,26785,,26785,,,"China, People's Republic of"
"China, People's Republic of",2017,30250,,30250,,,"China, People's Republic of"
"China, People's Republic of",2018,29710,,29710,,,"China, People's Republic of"
"China, People's Republic of",2019,30245,,30245,,,"China, People's Republic of"
"China, People's Republic of",2020,16525,,16525,,,"China, People's Republic of"
"China, People's Republic of",2021,31010,,31010,,,"China, People's Republic of"
"China, People's Republic of",2022,31845,,31845,,,"China, People's Republic of"
"China, People's Republic of",2023,31780,,31780,,,"China, People's Republic of"
"China, People's Republic of",2024,19055,,19055,,,"China, People's Republic of"
Iran,,,,,,,Iran
Iran,2015,11640,,11640,,,Iran
Iran,2016,6475,,6475,,,Iran
Iran,2017,4730,,4730,,,Iran
Iran,2018,5510,,5510,,,Iran
Iran,2019,6055,,6055,,,Iran
Iran,2020,3815,,3815,,,Iran
Iran,2021,11305,,11305,,,Iran
Iran,2022,11110,,11110,,,Iran
Iran,2023,10680,,10680,,,Iran
Iran,2024,7815,,7815,,,Iran
Pakistan,,,,,,,Pakistan
Pakistan,2015,11300,,11300,,,Pakistan
Pakistan,2016,11350,,11350,,,Pakistan
Pakistan,2017,7655,,7655,,,Pakistan
Pakistan,2018,9490,,9490,,,Pakistan
Pakistan,2019,10795,,10795,,,Pakistan
Pakistan,2020,6230,,6230,,,Pakistan
Pakistan,2021,8480,,8480,,,Pakistan
Pakistan,2022,11600,,11600,,,Pakistan
Pakistan,2023,11860,,11860,,,Pakistan
Pakistan,2024,6735,,6735,,,Pakistan
Syria,,,,,,,Syria
Syria,2015,9850,,9850,,,Syria
Syria,2016,35000,,35000,,,Syria
Syria,2017,12060,,12060,,,Syria
Syria,2018,12045,,12045,,,Syria
Syria,2019,10120,,10120,,,Syria
Syria,2020,4880,,4880,,,Syria
Syria,2021,5590,,5590,,,Syria
Syria,2022,8510,,8510,,,Syria
Syria,2023,9345,,9345,,,Syria
Syria,2024,5055,,5055,,,Syria
United States of America,,,,,,,United States of America
United States of America,2015,7655,,7655,,,United States of America
United States of America,2016,8485,,8485,,,United States of America
United States of America,2017,9140,,9140,,,United States of America
United States of America,2018,10900,,10900,,,United States of America
United States of America,2019,10780,,10780,,,United States of America
United States of America,2020,6380,,6380,,,United States of America
United States of America,2021,11955,,11955,,,United States of America
United States of America,2022,10415,,10415,,,United States of America
United States of America,2023,10640,,10640,,,United States of America
United States of America,2024,5880,,5880,,,United States of America
France,,,,,,,France
France,2015,5850,,5850,,,
France,2016,6390,,6390,,,
France,2017,6625,,6625,,,
France,2018,6175,,6175,,,
France,2019,4960,,4960,,,
France,2020,4605,,4605,,,
France,2021,12690,,12690,,,
France,2022,14150,,14150,,,
France,2023,10075,,10075,,,
France,2024,6085,,6085,,,
United Kingdom and Overseas Territories,,,,,,,United Kingdom and Overseas Territories
United Kingdom and Overseas Territories,2015,5360,,5360,,,
United Kingdom and Overseas Territories,2016,5805,,5805,,,
United Kingdom and Overseas Territories,2017,5310,,5310,,,
United Kingdom and Overseas Territories,2018,5660,,5660,,,
United Kingdom and Overseas Territories,2019,5635,,5635,,,
United Kingdom and Overseas Territories,2020,3410,,3410,,,
United Kingdom and Overseas Territories,2021,6555,,6555,,,
United Kingdom and Overseas Territories,2022,4495,,4495,,,
United Kingdom and Overseas Territories,2023,4990,,4990,,,
United Kingdom and Overseas Territories,2024,2710,,2710,,,
"Korea, Republic of",,,,,,,"Korea, Republic of"
,2015,4105,,4105,,,
,2016,4010,,4010,,,
,2017,3980,,3980,,,
,2018,4800,,4800,,,
,2019,6100,,6100,,,
,2020,3285,,3285,,,
,2021,8240,,8240,,,
,2022,5455,,5455,,,
,2023,5205,,5205,,,
,2024,3050,,3050,,,
Nigeria,,,,,,,Nigeria
,2015,4090,,4090,,,
,2016,4415,,4415,,,
,2017,5445,,5445,,,
,2018,10920,,10920,,,
,2019,12600,,12600,,,
,2020,6360,,6360,,,
,2021,15595,,15595,,,
,2022,22130,,22130,,,
,2023,17465,,17465,,,
,2024,12280,,12280,,,
Iraq,,,,,,,Iraq
,2015,3975,,3975,,,
,2016,2415,,2415,,,
,2017,4740,,4740,,,
,2018,5330,,5330,,,
,2019,4445,,4445,,,
,2020,1950,,1950,,,
,2021,2690,,2690,,,
,2022,3475,,3475,,,
,2023,2335,,2335,,,
,2024,1265,,1265,,,
Egypt,,,,,,,Egypt
,2015,3760,,3760,,,
,2016,3085,,3085,,,
,2017,2865,,2865,,,
,2018,3515,,3515,,,
,2019,3655,,3655,,,
,2020,1905,,1905,,,
,2021,3220,,3220,,,
,2022,2890,,2890,,,
,2023,2515,,2515,,,
,2024,1800,,1800,,,
Jamaica,,,,,,,Jamaica
,2015,3415,,3415,,,
,2016,3560,,3560,,,
,2017,3830,,3830,,,
,2018,3875,,3875,,,
,2019,3980,,3980,,,
,2020,2030,,2030,,,
,2021,4045,,4045,,,
,2022,4245,,4245,,,
,2023,4340,,4340,,,
,2024,2215,,2215,,,
Bangladesh,,,,,,,Bangladesh
,2015,3305,,3305,,,
,2016,3230,,3230,,,
,2017,3190,,3190,,,
,2018,3205,,3205,,,
,2019,3395,,3395,,,
,2020,1620,,1620,,,
,2021,3000,,3000,,,
,2022,4055,,4055,,,
,2023,5020,,5020,,,
,2024,2965,,2965,,,
Mexico,,,,,,,Mexico
,2015,3220,,3220,,,
,2016,3390,,3390,,,
,2017,3135,,3135,,,
,2018,3310,,3310,,,
,2019,3460,,3460,,,
,2020,2430,,2430,,,
,2021,5145,,5145,,,
,2022,5220,,5220,,,
,2023,5735,,5735,,,
,2024,4040,,4040,,,
Algeria,,,,,,,Algeria
,2015,2830,,2830,,,
,2016,2820,,2820,,,
,2017,2635,,2635,,,
,2018,3225,,3225,,,
,2019,3705,,3705,,,
,2020,2720,,2720,,,
,2021,3080,,3080,,,
,2022,6175,,6175,,,
,2023,5245,,5245,,,
,2024,4930,,4930,,,
Haiti,,,,,,,Haiti
,2015,2720,,2720,,,
,2016,2930,,2930,,,
,2017,2345,,2345,,,
,2018,2100,,2100,,,
,2019,1455,,1455,,,
,2020,990,,990,,,
,2021,2870,,2870,,,
,2022,4400,,4400,,,
,2023,3015,,3015,,,
,2024,2040,,2040,,,
Morocco,,,,,,,Morocco
,2015,2705,,2705,,,
,2016,2110,,2110,,,
,2017,2265,,2265,,,
,2018,2780,,2780,,,
,2019,3025,,3025,,,
,2020,2980,,2980,,,
,2021,2950,,2950,,,
,2022,6390,,6390,,,
,2023,6410,,6410,,,
,2024,4695,,4695,,,
Vietnam,,,,,,,Vietnam
,2015,2595,,2595,,,
,2016,2450,,2450,,,
,2017,2505,,2505,,,
,2018,3050,,3050,,,
,2019,4220,,4220,,,
,2020,2610,,2610,,,
,2021,5755,,5755,,,
,2022,5460,,5460,,,
,2023,6605,,6605,,,
,2024,4510,,4510,,,
Ukraine,,,,,,,Ukraine
,2015,2345,,2345,,,
,2016,3350,,3350,,,
,2017,3310,,3310,,,
,2018,3135,,3135,,,
,2019,2995,,2995,,,
,2020,1675,,1675,,,
,2021,3190,,3190,,,
,2022,3575,,3575,,,
,2023,3110,,3110,,,
,2024,4605,,4605,,,
Eritrea,,,,,,,Eritrea
,2015,2210,,2210,,,
,2016,4655,,4655,,,
,2017,4690,,4690,,,
,2018,5695,,5695,,,
,2019,7030,,7030,,,
,2020,2640,,2640,,,
,2021,5375,,5375,,,
,2022,7660,,7660,,,
,2023,10680,,10680,,,
,2024,7845,,7845,,,
Colombia,,,,,,,Colombia
,2015,2180,,2180,,,
,2016,2435,,2435,,,
,2017,2235,,2235,,,
,2018,2270,,2270,,,
,2019,2275,,2275,,,
,2020,1520,,1520,,,
,2021,4055,,4055,,,
,2022,3775,,3775,,,
,2023,4660,,4660,,,
,2024,4485,,4485,,,
Israel,,,,,,,Israel
,2015,2165,,2165,,,
,2016,2445,,2445,,,
,2017,1870,,1870,,,
,2018,1795,,1795,,,
,2019,1315,,1315,,,
,2020,755,,755,,,
,2021,1105,,1105,,,
,2022,885,,885,,,
,2023,980,,980,,,
,2024,530,,530,,,
"Ireland, Republic of",,,,,,,"Ireland, Republic of"
,2015,2150,,2150,,,
,2016,2250,,2250,,,
,2017,1975,,1975,,,
,2018,1775,,1775,,,
,2019,1615,,1615,,,
,2020,1030,,1030,,,
,2021,2685,,2685,,,
,2022,945,,945,,,
,2023,1010,,1010,,,
,2024,545,,545,,,
Russia,,,,,,,Russia
,2015,2125,,2125,,,
,2016,2405,,2405,,,
,2017,2290,,2290,,,
,2018,2145,,2145,,,
,2019,2265,,2265,,,
,2020,1390,,1390,,,
,2021,2005,,2005,,,
,2022,1620,,1620,,,
,2023,1770,,1770,,,
,2024,1235,,1235,,,
Lebanon,,,,,,,Lebanon
,2015,2110,,2110,,,
,2016,1910,,1910,,,
,2017,1365,,1365,,,
,2018,1505,,1505,,,
,2019,1965,,1965,,,
,2020,1280,,1280,,,
,2021,1830,,1830,,,
,2022,4095,,4095,,,
,2023,4555,,4555,,,
,2024,2580,,2580,,,
"Cameroon, Federal Republic of",,,,,,,"Cameroon, Federal Republic of"
,2015,2030,,2030,,,
,2016,2100,,2100,,,
,2017,2285,,2285,,,
,2018,2275,,2275,,,
,2019,2950,,2950,,,
,2020,1595,,1595,,,
,2021,2565,,2565,,,
,2022,6265,,6265,,,
,2023,11685,,11685,,,
,2024,10960,,10960,,,
Sri Lanka,,,,,,,Sri Lanka
,2015,1785,,1785,,,
,2016,1535,,1535,,,
,2017,2150,,2150,,,
,2018,2160,,2160,,,
,2019,2235,,2235,,,
,2020,1340,,1340,,,
,2021,2030,,2030,,,
,2022,2510,,2510,,,
,2023,2710,,2710,,,
,2024,2125,,2125,,,
Brazil,,,,,,,Brazil
,2015,1730,,1730,,,
,2016,1730,,1730,,,
,2017,2760,,2760,,,
,2018,3950,,3950,,,
,2019,5290,,5290,,,
,2020,3695,,3695,,,
,2021,11425,,11425,,,
,2022,7335,,7335,,,
,2023,7225,,7225,,,
,2024,4110,,4110,,,
"Congo, Democratic Republic of the",,,,,,,"Congo, Democratic Republic of the"
,2015,1675,,1675,,,
,2016,2480,,2480,,,
,2017,2355,,2355,,,
,2018,2385,,2385,,,
,2019,2295,,2295,,,
,2020,865,,865,,,
,2021,1820,,1820,,,
,2022,3250,,3250,,,
,2023,5320,,5320,,,
,2024,2225,,2225,,,
Nepal,,,,,,,Nepal
,2015,1525,,1525,,,
,2016,755,,755,,,
,2017,1110,,1110,,,
,2018,1400,,1400,,,
,2019,1410,,1410,,,
,2020,565,,565,,,
,2021,1020,,1020,,,
,2022,1440,,1440,,,
,2023,1760,,1760,,,
,2024,1350,,1350,,,
Australia,,,,,,,Australia
,2015,1470,,1470,,,
,2016,1705,,1705,,,
,2017,1865,,1865,,,
,2018,2175,,2175,,,
,2019,2140,,2140,,,
,2020,1180,,1180,,,
,2021,2080,,2080,,,
,2022,1265,,1265,,,
,2023,1260,,1260,,,
,2024,640,,640,,,
"Ivory Coast, Republic of",,,,,,,"Ivory Coast, Republic of"
,2015,1370,,1370,,,
,2016,1760,,1760,,,
,2017,1405,,1405,,,
,2018,1470,,1470,,,
,2019,1850,,1850,,,
,2020,1195,,1195,,,
,2021,1110,,1110,,,
,2022,2990,,2990,,,
,2023,2585,,2585,,,
,2024,1830,,1830,,,
Ethiopia,,,,,,,Ethiopia
,2015,1355,,1355,,,
,2016,1930,,1930,,,
,2017,1910,,1910,,,
,2018,2025,,2025,,,
,2019,2475,,2475,,,
,2020,1100,,1100,,,
,2021,2150,,2150,,,
,2022,2665,,2665,,,
,2023,3820,,3820,,,
,2024,1975,,1975,,,
Tunisia,,,,,,,Tunisia
,2015,1280,,1280,,,
,2016,1305,,1305,,,
,2017,1430,,1430,,,
,2018,1935,,1935,,,
,2019,1980,,1980,,,
,2020,1435,,1435,,,
,2021,2640,,2640,,,
,2022,4680,,4680,,,
,2023,3470,,3470,,,
,2024,3480,,3480,,,
Germany,,,,,,,Germany
,2015,1275,,1275,,,
,2016,1210,,1210,,,
,2017,1145,,1145,,,
,2018,1280,,1280,,,
,2019,1520,,1520,,,
,2020,785,,785,,,
,2021,1445,,1445,,,
,2022,900,,900,,,
,2023,1155,,1155,,,
,2024,610,,610,,,
Romania,,,,,,,Romania
,2015,1180,,1180,,,
,2016,1360,,1360,,,
,2017,980,,980,,,
,2018,810,,810,,,
,2019,675,,675,,,
,2020,325,,325,,,
,2021,605,,605,,,
,2022,480,,480,,,
,2023,465,,465,,,
,2024,245,,245,,,
"Somalia, Democratic Republic of",,,,,,,"Somalia, Democratic Republic of"
,2015,1160,,1160,,,
,2016,1315,,1315,,,
,2017,1390,,1390,,,
,2018,2145,,2145,,,
,2019,3275,,3275,,,
,2020,1010,,1010,,,
,2021,2075,,2075,,,
,2022,2940,,2940,,,
